customer_id,age,gender,location,horoscope,blood,catdog
1,55,Male,teruel,Libra,O,cat
2,19,Male,cadiz,Scorpio,O,none
3,50,Male,barcelona,Virgo,O,none
4,21,Male,ciudad_real,Virgo,AB,cat
5,45,Male,alava,Leo,A,cat
6,46,Male,gerona,Cancer,B,none
7,63,Male,burgos,Pisces,B,none
8,27,Male,cadiz,Capricorn,A,cat
9,26,Male,badajoz,Gemini,B,dog
10,57,Male,pontevedra,Libra,A,none
11,53,Male,almeria,Libra,B,cat
12,30,Male,teruel,Gemini,A,dog
13,61,Male,leon,Gemini,B,none
14,65,Male,gipuzkoa,Leo,AB,cat
15,64,Male,sevilla,Aquarius,B,none
16,64,Male,salamanca,Taurus,O,none
17,25,Male,cuenca,Libra,A,none
18,53,Male,burgos,Capricorn,B,cat
19,52,Male,toledo,Aries,A,dog
20,66,Male,sevilla,Virgo,B,dog
21,21,Male,la_coruna,Taurus,O,dog
22,31,Male,gerona,Pisces,AB,dog
23,56,Male,las_palmas,Aquarius,O,dog
24,31,Male,cordoba,Aries,O,none
25,18,Male,malaga,Taurus,A,dog
26,18,Male,ciudad_real,Pisces,A,cat
27,38,Male,navarra,Leo,O,dog
28,56,Male,cuenca,Sagittarius,A,dog
29,54,Male,santa_cruz_de_tenerife,Scorpio,AB,dog
30,31,Male,zaragoza,Virgo,O,dog
31,57,Male,lugo,Gemini,AB,dog
32,33,Male,alava,Capricorn,B,cat
33,36,Male,ciudad_real,Cancer,O,cat
34,54,Male,bizkaia,Capricorn,AB,cat
35,36,Male,valencia,Leo,AB,none
36,54,Male,guadalajara,Leo,A,none
37,35,Male,cantabria,Cancer,A,cat
38,35,Male,cadiz,Aquarius,B,dog
39,29,Male,alava,Gemini,A,none
40,70,Male,bizkaia,Cancer,O,dog
41,69,Male,teruel,Virgo,AB,cat
42,67,Male,gerona,Scorpio,AB,none
43,20,Male,malaga,Aries,B,dog
44,25,Male,valencia,Sagittarius,O,cat
45,39,Male,lleida,Capricorn,B,none
46,50,Male,zaragoza,Aries,AB,cat
47,57,Male,cadiz,Sagittarius,AB,dog
48,55,Male,teruel,Libra,O,dog
49,42,Male,cadiz,Taurus,B,none
50,68,Male,castellon,Pisces,B,none
51,49,Male,la_rioja,Scorpio,B,none
52,59,Male,la_rioja,Leo,A,cat
53,42,Male,murcia,Pisces,O,dog
54,29,Male,segovia,Virgo,B,none
55,47,Male,pontevedra,Sagittarius,O,none
56,40,Male,valladolid,Aries,O,none
57,41,Male,la_coruna,Sagittarius,AB,none
58,21,Male,la_coruna,Libra,AB,dog
59,69,Male,asturias,Capricorn,B,cat
60,63,Male,castellon,Cancer,O,dog
61,50,Male,tarragona,Sagittarius,O,cat
62,55,Male,castellon,Capricorn,B,cat
63,30,Male,palencia,Virgo,O,cat
64,33,Male,guadalajara,Capricorn,AB,none
65,65,Male,cadiz,Gemini,B,dog
66,65,Male,ciudad_real,Pisces,B,cat
67,31,Male,baleares,Libra,A,dog
68,45,Male,lugo,Cancer,B,dog
69,57,Male,leon,Sagittarius,B,dog
70,48,Male,guadalajara,Virgo,O,none
71,22,Male,santa_cruz_de_tenerife,Aries,B,dog
72,36,Male,jaen,Virgo,B,cat
73,18,Male,la_rioja,Scorpio,AB,none
74,48,Male,valladolid,Capricorn,O,dog
75,49,Male,burgos,Virgo,A,cat
76,64,Male,soria,Cancer,B,cat
77,50,Male,badajoz,Libra,A,dog
78,22,Male,cordoba,Libra,O,cat
79,50,Male,zaragoza,Pisces,AB,dog
80,38,Male,sevilla,Virgo,B,none
81,19,Male,gerona,Cancer,O,dog
82,67,Male,tarragona,Scorpio,AB,dog
83,19,Male,zamora,Scorpio,O,dog
84,36,Male,lleida,Gemini,A,dog
85,52,Male,zamora,Scorpio,O,dog
86,53,Male,huesca,Libra,AB,dog
87,24,Male,lleida,Leo,O,dog
88,52,Male,caceres,Gemini,B,none
89,33,Male,alava,Pisces,O,none
90,47,Male,las_palmas,Virgo,B,cat
91,25,Male,las_palmas,Leo,A,none
92,44,Male,bizkaia,Cancer,A,none
93,61,Male,albacete,Pisces,AB,none
94,37,Male,madrid,Sagittarius,A,cat
95,58,Male,lugo,Pisces,B,none
96,37,Male,teruel,Taurus,AB,dog
97,32,Male,lleida,Aquarius,O,none
98,21,Male,valencia,Sagittarius,B,none
99,20,Male,ciudad_real,Sagittarius,O,none
100,26,Male,toledo,Virgo,O,dog
101,62,Male,alava,Leo,B,cat
102,27,Male,zaragoza,Capricorn,O,cat
103,51,Male,madrid,Leo,A,none
104,54,Male,madrid,Aquarius,B,cat
105,55,Male,alava,Capricorn,B,cat
106,69,Male,segovia,Capricorn,A,dog
107,64,Male,asturias,Leo,A,none
108,28,Male,cantabria,Sagittarius,A,dog
109,70,Male,guadalajara,Leo,O,dog
110,58,Male,guadalajara,Aquarius,B,cat
111,56,Male,barcelona,Leo,O,dog
112,26,Male,malaga,Cancer,A,dog
113,37,Male,zaragoza,Cancer,B,cat
114,44,Male,huelva,Gemini,AB,none
115,70,Male,valencia,Aries,A,none
116,53,Male,santa_cruz_de_tenerife,Virgo,O,none
117,55,Male,lugo,Libra,A,none
118,50,Male,gipuzkoa,Gemini,B,none
119,50,Male,las_palmas,Gemini,AB,cat
120,38,Male,barcelona,Cancer,AB,dog
121,64,Male,santa_cruz_de_tenerife,Aquarius,A,none
122,19,Male,alicante,Taurus,AB,none
123,40,Male,castellon,Sagittarius,B,cat
124,57,Male,orense,Leo,O,none
125,44,Male,santa_cruz_de_tenerife,Aries,O,cat
126,49,Male,las_palmas,Virgo,B,dog
127,43,Male,albacete,Pisces,O,cat
128,24,Male,barcelona,Sagittarius,AB,none
129,20,Male,toledo,Aries,A,dog
130,24,Male,palencia,Virgo,B,cat
131,44,Male,almeria,Pisces,B,dog
132,28,Male,segovia,Cancer,AB,cat
133,30,Male,malaga,Sagittarius,O,cat
134,52,Male,guadalajara,Sagittarius,O,none
135,43,Male,ciudad_real,Aries,A,dog
136,43,Male,cordoba,Gemini,AB,cat
137,39,Male,guadalajara,Taurus,A,dog
138,68,Male,soria,Gemini,AB,dog
139,68,Male,badajoz,Taurus,AB,dog
140,49,Male,baleares,Libra,O,cat
141,63,Male,madrid,Leo,B,none
142,56,Male,barcelona,Aries,O,cat
143,37,Male,cordoba,Cancer,A,cat
144,30,Male,gipuzkoa,Libra,A,none
145,19,Male,tarragona,Taurus,AB,dog
146,24,Male,segovia,Taurus,O,cat
147,52,Male,valencia,Leo,AB,dog
148,63,Male,caceres,Aquarius,B,dog
149,37,Male,ciudad_real,Scorpio,AB,cat
150,38,Male,la_rioja,Scorpio,A,dog
151,35,Male,valencia,Scorpio,A,cat
152,28,Male,caceres,Sagittarius,AB,none
153,30,Male,burgos,Libra,B,none
154,69,Male,ciudad_real,Sagittarius,O,dog
155,41,Male,salamanca,Taurus,AB,none
156,63,Male,navarra,Cancer,B,dog
157,35,Male,valladolid,Taurus,O,dog
158,36,Male,cuenca,Cancer,O,dog
159,25,Male,toledo,Scorpio,O,cat
160,58,Male,sevilla,Pisces,A,dog
161,27,Male,jaen,Gemini,B,dog
162,65,Male,tarragona,Gemini,B,dog
163,54,Male,salamanca,Scorpio,A,none
164,54,Male,castellon,Gemini,A,none
165,59,Male,navarra,Pisces,A,cat
166,42,Male,burgos,Pisces,A,cat
167,46,Male,gipuzkoa,Aquarius,A,dog
168,33,Male,malaga,Aquarius,AB,dog
169,34,Male,valencia,Libra,A,dog
170,27,Male,segovia,Virgo,B,none
171,52,Male,guadalajara,Virgo,B,dog
172,29,Male,santa_cruz_de_tenerife,Pisces,A,cat
173,54,Male,santa_cruz_de_tenerife,Capricorn,A,none
174,25,Male,lleida,Virgo,B,none
175,41,Male,palencia,Taurus,B,cat
176,53,Male,malaga,Cancer,O,dog
177,53,Male,bizkaia,Taurus,AB,cat
178,21,Male,pontevedra,Gemini,O,cat
179,61,Male,alava,Aquarius,O,dog
180,64,Male,jaen,Sagittarius,AB,dog
181,51,Male,badajoz,Aries,A,none
182,32,Male,baleares,Aquarius,A,cat
183,38,Male,zamora,Scorpio,A,dog
184,58,Male,gipuzkoa,Pisces,B,none
185,32,Male,las_palmas,Pisces,AB,none
186,46,Male,la_rioja,Gemini,B,none
187,39,Male,salamanca,Libra,B,dog
188,19,Male,soria,Pisces,O,dog
189,50,Male,pontevedra,Cancer,AB,none
190,36,Male,caceres,Sagittarius,A,cat
191,65,Male,leon,Scorpio,AB,none
192,64,Male,lleida,Scorpio,AB,dog
193,46,Male,toledo,Libra,O,none
194,36,Male,leon,Taurus,B,cat
195,51,Male,barcelona,Virgo,O,dog
196,51,Male,malaga,Leo,O,cat
197,38,Male,castellon,Aquarius,B,dog
198,59,Male,asturias,Aries,B,dog
199,57,Male,baleares,Scorpio,O,dog
200,54,Male,malaga,Leo,B,cat
201,25,Male,salamanca,Aries,AB,none
202,69,Male,zaragoza,Leo,A,none
203,57,Male,madrid,Gemini,O,none
204,70,Male,la_rioja,Aquarius,A,dog
205,24,Male,tarragona,Aquarius,B,cat
206,67,Male,badajoz,Virgo,A,cat
207,24,Male,albacete,Aries,B,cat
208,62,Male,sevilla,Capricorn,B,none
209,57,Male,cantabria,Capricorn,AB,dog
210,55,Male,bizkaia,Sagittarius,A,cat
211,45,Male,cuenca,Scorpio,B,none
212,69,Male,tarragona,Virgo,O,dog
213,67,Male,avila,Sagittarius,AB,none
214,30,Male,tarragona,Taurus,A,none
215,24,Male,santa_cruz_de_tenerife,Libra,B,dog
216,62,Male,las_palmas,Capricorn,O,cat
217,43,Male,barcelona,Virgo,A,none
218,35,Male,tarragona,Sagittarius,A,none
219,28,Male,castellon,Gemini,B,cat
220,32,Male,alicante,Aries,A,none
221,39,Male,cantabria,Aries,AB,cat
222,28,Male,valladolid,Gemini,B,cat
223,47,Male,lleida,Sagittarius,O,none
224,20,Male,jaen,Pisces,A,dog
225,63,Male,alicante,Leo,O,cat
226,25,Male,navarra,Scorpio,B,dog
227,29,Male,madrid,Virgo,O,cat
228,50,Male,jaen,Capricorn,AB,none
229,18,Male,teruel,Taurus,B,dog
230,70,Male,cuenca,Gemini,B,none
231,66,Male,cuenca,Libra,A,none
232,28,Male,caceres,Virgo,B,none
233,54,Male,la_coruna,Libra,B,cat
234,19,Male,caceres,Capricorn,AB,cat
235,20,Male,segovia,Pisces,B,none
236,43,Male,soria,Cancer,A,cat
237,38,Male,baleares,Aquarius,O,cat
238,50,Male,lleida,Scorpio,O,none
239,64,Male,ciudad_real,Aquarius,O,none
240,49,Male,toledo,Cancer,O,dog
241,47,Male,granada,Pisces,AB,dog
242,36,Male,madrid,Scorpio,AB,cat
243,55,Male,huelva,Capricorn,O,none
244,25,Male,valladolid,Aries,AB,dog
245,53,Male,pontevedra,Taurus,AB,cat
246,49,Male,soria,Capricorn,A,none
247,35,Male,zamora,Pisces,AB,cat
248,29,Male,murcia,Gemini,O,cat
249,47,Male,caceres,Pisces,AB,dog
250,53,Male,ciudad_real,Libra,A,cat
251,33,Male,malaga,Cancer,O,cat
252,21,Male,ciudad_real,Leo,B,none
253,32,Male,la_coruna,Gemini,A,none
254,52,Male,cordoba,Libra,O,dog
255,67,Male,cantabria,Taurus,A,dog
256,43,Male,tarragona,Aries,A,dog
257,58,Male,gerona,Aquarius,AB,none
258,20,Male,segovia,Leo,B,none
259,61,Male,santa_cruz_de_tenerife,Gemini,AB,none
260,32,Male,castellon,Scorpio,A,none
261,38,Male,navarra,Cancer,O,none
262,21,Male,barcelona,Pisces,B,cat
263,37,Male,lugo,Capricorn,AB,none
264,27,Male,cordoba,Aries,AB,cat
265,36,Male,badajoz,Pisces,B,cat
266,32,Male,las_palmas,Aquarius,O,dog
267,51,Male,palencia,Scorpio,O,none
268,64,Male,lleida,Pisces,O,none
269,68,Male,huesca,Pisces,B,none
270,68,Male,alava,Leo,AB,cat
271,33,Male,la_coruna,Libra,O,cat
272,65,Male,orense,Aries,A,dog
273,48,Male,toledo,Sagittarius,O,none
274,69,Male,zamora,Leo,A,dog
275,59,Male,soria,Capricorn,O,cat
276,48,Male,sevilla,Aries,AB,none
277,25,Male,la_rioja,Gemini,O,cat
278,29,Male,alicante,Gemini,O,cat
279,57,Male,malaga,Pisces,O,dog
280,23,Male,castellon,Virgo,B,dog
281,45,Male,palencia,Libra,AB,dog
282,38,Male,soria,Capricorn,AB,dog
283,21,Male,caceres,Taurus,AB,cat
284,32,Male,toledo,Aquarius,A,cat
285,63,Male,gipuzkoa,Leo,AB,dog
286,29,Male,alava,Pisces,O,dog
287,27,Male,cantabria,Leo,B,dog
288,56,Male,huesca,Aries,O,dog
289,30,Male,valencia,Scorpio,B,cat
290,49,Male,orense,Aries,AB,cat
291,58,Male,salamanca,Libra,AB,none
292,57,Male,la_rioja,Libra,B,dog
293,60,Male,cadiz,Scorpio,O,none
294,69,Male,jaen,Libra,B,dog
295,70,Male,ciudad_real,Capricorn,O,none
296,53,Male,pontevedra,Virgo,B,cat
297,25,Male,alicante,Pisces,AB,none
298,48,Male,huesca,Sagittarius,AB,none
299,69,Male,guadalajara,Cancer,AB,cat
300,25,Male,barcelona,Virgo,O,cat
301,29,Male,orense,Cancer,A,cat
302,46,Male,castellon,Aries,B,none
303,37,Male,murcia,Libra,A,dog
304,20,Male,orense,Taurus,O,cat
305,40,Male,huesca,Cancer,O,none
306,60,Male,castellon,Aries,O,cat
307,26,Male,teruel,Capricorn,AB,dog
308,29,Male,gerona,Scorpio,A,cat
309,66,Male,la_rioja,Libra,O,none
310,66,Male,jaen,Gemini,A,dog
311,56,Male,santa_cruz_de_tenerife,Sagittarius,A,cat
312,69,Male,leon,Leo,O,cat
313,38,Male,burgos,Sagittarius,A,cat
314,42,Male,cantabria,Aquarius,A,cat
315,30,Male,valladolid,Scorpio,O,cat
316,66,Male,soria,Capricorn,B,none
317,36,Male,valencia,Scorpio,AB,cat
318,58,Male,guadalajara,Aries,A,cat
319,45,Male,teruel,Leo,B,cat
320,47,Male,salamanca,Aries,A,none
321,66,Male,segovia,Capricorn,B,cat
322,41,Male,la_rioja,Pisces,AB,none
323,41,Male,santa_cruz_de_tenerife,Aries,O,dog
324,66,Male,valencia,Libra,AB,none
325,37,Male,granada,Cancer,O,cat
326,70,Male,cadiz,Taurus,AB,none
327,62,Male,valladolid,Sagittarius,A,cat
328,61,Male,cantabria,Gemini,A,dog
329,48,Male,orense,Aquarius,B,dog
330,70,Male,huelva,Sagittarius,A,none
331,46,Male,zaragoza,Libra,B,cat
332,31,Male,ciudad_real,Virgo,AB,dog
333,19,Male,teruel,Pisces,AB,cat
334,39,Male,gerona,Capricorn,A,dog
335,41,Male,albacete,Sagittarius,AB,none
336,20,Male,lugo,Sagittarius,A,cat
337,36,Male,granada,Pisces,O,cat
338,32,Male,valencia,Taurus,B,none
339,69,Male,lleida,Aries,B,none
340,40,Male,tarragona,Aries,O,cat
341,40,Male,santa_cruz_de_tenerife,Gemini,O,none
342,20,Male,gipuzkoa,Virgo,AB,none
343,64,Male,burgos,Aquarius,O,cat
344,27,Male,huelva,Virgo,B,none
345,24,Male,valladolid,Cancer,AB,cat
346,48,Male,ciudad_real,Aries,O,none
347,49,Male,pontevedra,Cancer,B,dog
348,36,Male,castellon,Taurus,A,dog
349,56,Male,tarragona,Sagittarius,O,none
350,37,Male,castellon,Libra,O,none
351,42,Male,murcia,Leo,A,none
352,28,Male,navarra,Leo,AB,cat
353,27,Male,alava,Aquarius,A,cat
354,63,Male,asturias,Aries,A,cat
355,58,Male,pontevedra,Sagittarius,B,dog
356,37,Male,zamora,Pisces,A,none
357,56,Male,la_coruna,Taurus,B,cat
358,18,Male,cantabria,Capricorn,B,cat
359,48,Male,albacete,Pisces,O,none
360,31,Male,santa_cruz_de_tenerife,Taurus,A,dog
361,51,Male,las_palmas,Pisces,B,cat
362,65,Male,alava,Cancer,A,dog
363,53,Male,lugo,Aquarius,O,dog
364,55,Male,santa_cruz_de_tenerife,Aquarius,O,dog
365,62,Male,cordoba,Scorpio,B,dog
366,55,Male,alava,Pisces,O,dog
367,64,Male,segovia,Pisces,O,dog
368,52,Male,soria,Pisces,A,none
369,24,Male,huelva,Libra,O,cat
370,38,Male,pontevedra,Capricorn,B,none
371,59,Male,pontevedra,Taurus,B,none
372,27,Male,tarragona,Aries,O,cat
373,24,Male,alava,Taurus,O,none
374,23,Male,zaragoza,Scorpio,AB,dog
375,69,Male,salamanca,Gemini,AB,none
376,59,Male,alava,Virgo,AB,cat
377,51,Male,avila,Taurus,AB,cat
378,63,Male,castellon,Sagittarius,B,dog
379,54,Male,la_coruna,Leo,AB,cat
380,32,Male,palencia,Leo,A,none
381,39,Male,la_rioja,Cancer,A,cat
382,66,Male,santa_cruz_de_tenerife,Scorpio,A,none
383,28,Male,jaen,Aries,AB,none
384,50,Male,burgos,Taurus,A,none
385,70,Male,soria,Virgo,AB,none
386,67,Male,bizkaia,Virgo,AB,dog
387,64,Male,pontevedra,Aries,O,dog
388,45,Male,lugo,Libra,AB,dog
389,22,Male,segovia,Pisces,O,dog
390,27,Male,barcelona,Capricorn,O,dog
391,25,Male,santa_cruz_de_tenerife,Leo,A,cat
392,37,Male,santa_cruz_de_tenerife,Virgo,B,none
393,26,Male,la_coruna,Virgo,AB,dog
394,33,Male,caceres,Cancer,A,cat
395,43,Male,zamora,Sagittarius,B,dog
396,37,Male,lleida,Cancer,O,none
397,46,Male,barcelona,Cancer,B,none
398,22,Male,valladolid,Aquarius,AB,dog
399,20,Male,tarragona,Scorpio,O,none
