customer_id,payment_method,review_rating,season,product_id
1,Venmo,3.1,Winter,8003
2,Cash,3.1,Winter,18548
3,Credit Card,3.1,Spring,13625
4,PayPal,3.5,Spring,16082
5,PayPal,2.7,Spring,4734
6,Venmo,2.9,Summer,10706
7,Cash,3.2,Fall,24562
8,Credit Card,3.2,Winter,20368
9,Venmo,2.6,Summer,10032
10,Cash,4.8,Spring,10578
11,Bank Transfer,4.1,Fall,15826
12,Bank Transfer,4.9,Winter,12043
13,Venmo,4.5,Winter,20478
14,PayPal,4.7,Spring,12645
15,Debit Card,4.7,Winter,1777
16,PayPal,2.8,Winter,6583
17,Debit Card,4.1,Spring,16679
18,Venmo,4.7,Winter,12482
19,Cash,4.6,Summer,10011
20,Debit Card,3.3,Summer,2742
21,Cash,2.8,Winter,14936
22,Debit Card,4.1,Winter,18783
23,Debit Card,3.2,Summer,15309
24,Credit Card,4.4,Winter,17661
25,Debit Card,2.9,Fall,6294
26,PayPal,3.6,Summer,14425
27,Credit Card,3.6,Spring,18142
28,Bank Transfer,5.0,Summer,22774
29,PayPal,4.4,Fall,24021
30,Credit Card,4.1,Fall,23599
31,Credit Card,4.7,Winter,6843
32,Venmo,4.7,Winter,10437
33,Venmo,4.9,Summer,5145
34,Cash,3.3,Summer,5768
35,PayPal,4.6,Spring,20680
36,Credit Card,4.0,Summer,18000
37,PayPal,4.6,Winter,13040
38,PayPal,2.8,Summer,13279
39,Venmo,3.7,Winter,22375
40,Credit Card,4.2,Summer,2409
41,Debit Card,4.6,Winter,20814
42,Venmo,4.5,Spring,9623
43,PayPal,4.1,Spring,2156
44,PayPal,3.7,Fall,7497
45,PayPal,4.6,Summer,11529
46,PayPal,2.9,Fall,3907
47,Cash,2.9,Summer,11875
48,Cash,4.5,Winter,2966
49,Cash,2.7,Summer,2804
50,Debit Card,4.6,Spring,19433
51,Debit Card,3.7,Spring,7510
52,Credit Card,4.7,Winter,17339
53,Credit Card,2.6,Summer,2694
54,Credit Card,3.9,Winter,2332
55,Debit Card,4.2,Summer,4144
56,Credit Card,3.0,Winter,15687
57,Credit Card,4.7,Summer,22092
58,Debit Card,4.4,Summer,20956
59,Venmo,4.2,Summer,4455
60,Debit Card,4.6,Spring,23330
61,Cash,4.0,Summer,22314
62,Credit Card,4.7,Winter,23758
63,Credit Card,3.8,Spring,21792
64,Credit Card,2.7,Winter,7093
65,Debit Card,4.8,Fall,14083
66,Venmo,4.8,Spring,10609
67,Venmo,4.7,Winter,18451
68,Debit Card,4.4,Winter,19488
69,Cash,3.9,Summer,17597
70,Cash,4.4,Summer,23758
71,Debit Card,4.2,Fall,5231
72,Bank Transfer,2.9,Summer,13801
73,Bank Transfer,2.9,Winter,4293
74,Bank Transfer,2.7,Spring,9412
75,Cash,4.5,Spring,5306
76,Credit Card,2.7,Summer,11006
77,Venmo,4.2,Summer,14899
78,Debit Card,3.3,Summer,21896
79,Venmo,4.7,Spring,24237
80,Bank Transfer,2.6,Winter,23047
81,Credit Card,3.3,Summer,1029
82,Credit Card,2.6,Summer,18331
83,Credit Card,4.0,Spring,3397
84,Bank Transfer,4.1,Summer,23090
85,Bank Transfer,4.4,Spring,18461
86,Debit Card,4.5,Winter,15045
87,Cash,3.7,Spring,8910
88,Debit Card,3.7,Fall,3902
89,Credit Card,3.5,Fall,13894
90,Cash,3.6,Fall,18830
91,Credit Card,2.9,Summer,873
92,Credit Card,4.6,Winter,22751
93,Venmo,4.4,Winter,23411
94,Credit Card,4.5,Fall,15342
95,Credit Card,4.6,Spring,9024
96,PayPal,3.8,Fall,6453
97,Venmo,3.6,Spring,14670
98,Cash,4.8,Winter,10069
99,Bank Transfer,2.6,Spring,15430
100,Debit Card,3.7,Summer,11396
101,Cash,2.7,Fall,16530
102,Credit Card,4.6,Spring,23240
103,Credit Card,4.8,Winter,16229
104,Venmo,4.0,Winter,11524
105,PayPal,4.4,Spring,19275
106,Bank Transfer,3.6,Fall,15585
107,Credit Card,3.7,Summer,4694
108,PayPal,3.1,Winter,15271
109,Bank Transfer,3.4,Spring,19391
110,Bank Transfer,2.6,Spring,8168
111,Venmo,4.0,Summer,20587
112,Credit Card,5.0,Summer,2829
113,PayPal,4.3,Spring,14454
114,PayPal,3.1,Winter,8506
115,Cash,3.7,Summer,12569
116,Debit Card,3.8,Spring,13090
117,Venmo,3.4,Spring,10129
118,Cash,4.6,Summer,10515
119,Cash,4.8,Fall,14349
120,Cash,4.3,Fall,10668
121,Bank Transfer,4.0,Summer,1131
122,Cash,4.2,Winter,20688
123,Cash,4.8,Spring,10602
124,Cash,3.1,Fall,5496
125,PayPal,3.1,Spring,1303
126,Venmo,3.6,Winter,11852
127,Cash,3.9,Spring,365
128,Credit Card,4.8,Winter,6646
129,Credit Card,4.7,Spring,20873
130,PayPal,4.2,Summer,2189
131,PayPal,3.7,Fall,13548
132,Credit Card,3.9,Summer,10945
133,PayPal,4.7,Fall,25051
134,Venmo,2.5,Winter,24212
135,Cash,4.9,Fall,1432
136,PayPal,4.1,Fall,2916
137,Debit Card,3.3,Winter,16859
138,PayPal,4.7,Spring,23362
139,Bank Transfer,4.4,Winter,7215
140,Venmo,3.8,Fall,16223
141,Credit Card,3.9,Fall,1089
142,PayPal,4.9,Fall,23644
143,Credit Card,3.1,Fall,17760
144,PayPal,2.7,Fall,8455
145,Cash,3.2,Fall,15709
146,Debit Card,4.5,Fall,303
147,Venmo,4.0,Fall,17956
148,Bank Transfer,3.5,Summer,17916
149,Debit Card,2.6,Fall,21570
150,PayPal,3.2,Summer,15884
151,Debit Card,4.9,Fall,5552
152,Venmo,4.5,Fall,294
153,Venmo,4.3,Summer,16062
154,Debit Card,3.2,Winter,14812
155,Venmo,3.6,Fall,13742
156,Bank Transfer,4.3,Spring,12232
157,Debit Card,4.0,Fall,23825
158,Bank Transfer,3.0,Fall,10205
159,Bank Transfer,4.1,Fall,9581
160,Bank Transfer,3.8,Fall,24223
161,Venmo,4.6,Summer,4063
162,Venmo,3.0,Fall,3451
163,PayPal,3.0,Summer,15439
164,Debit Card,3.4,Summer,6346
165,Credit Card,2.6,Spring,12423
166,Cash,2.8,Winter,15286
167,Cash,4.0,Fall,2785
168,Credit Card,4.0,Fall,20221
169,Cash,3.0,Summer,198
170,PayPal,3.3,Summer,13199
171,Venmo,2.6,Fall,14559
172,Credit Card,3.6,Summer,20936
173,Credit Card,3.9,Summer,11173
174,Cash,3.4,Fall,14524
175,Venmo,3.5,Winter,16
176,Bank Transfer,2.8,Fall,13808
177,Credit Card,2.7,Spring,19406
178,Bank Transfer,3.7,Fall,6945
179,PayPal,4.3,Fall,20581
180,Bank Transfer,4.9,Fall,21962
181,Debit Card,3.3,Fall,7517
182,Bank Transfer,4.7,Summer,3735
183,Debit Card,2.8,Summer,139
184,Credit Card,3.6,Spring,5333
185,Cash,3.0,Spring,18401
186,Bank Transfer,4.5,Summer,12775
187,Debit Card,2.9,Summer,13622
188,Bank Transfer,3.3,Spring,9098
189,Bank Transfer,3.1,Spring,18770
190,Credit Card,4.4,Fall,1405
191,Venmo,3.0,Fall,12085
192,Cash,3.9,Fall,915
193,PayPal,2.9,Summer,5932
194,Venmo,3.0,Fall,22185
195,Debit Card,3.1,Spring,267
196,Credit Card,4.3,Fall,4321
197,Credit Card,3.9,Summer,19080
198,Credit Card,3.2,Fall,5889
199,Credit Card,4.8,Winter,22170
200,Cash,3.8,Summer,21977
201,Venmo,3.3,Summer,6151
202,Bank Transfer,4.3,Fall,4699
203,Venmo,2.7,Spring,13817
204,Bank Transfer,3.2,Fall,5621
205,Cash,4.0,Fall,14818
206,PayPal,3.0,Winter,7657
207,Venmo,4.2,Summer,21560
208,Bank Transfer,2.9,Summer,5106
209,Credit Card,4.1,Spring,6768
210,Cash,3.2,Winter,15316
211,PayPal,3.0,Fall,14452
212,Debit Card,4.2,Fall,1079
213,Debit Card,4.2,Fall,20405
214,Debit Card,4.4,Fall,8351
215,Cash,4.2,Summer,14682
216,PayPal,2.8,Spring,14042
217,Venmo,3.7,Spring,22740
218,Bank Transfer,3.5,Winter,7188
219,Credit Card,2.9,Spring,5954
220,Cash,3.0,Spring,372
221,Debit Card,3.7,Spring,17236
222,Bank Transfer,4.4,Summer,14959
223,PayPal,4.5,Spring,15525
224,PayPal,4.8,Spring,18379
225,Cash,2.9,Summer,17885
226,Bank Transfer,3.2,Spring,9388
227,PayPal,3.3,Spring,9912
228,Venmo,4.2,Winter,1185
229,Credit Card,2.9,Spring,6890
230,PayPal,4.6,Spring,17081
231,Credit Card,4.1,Fall,17019
232,Debit Card,3.1,Spring,2061
233,Bank Transfer,4.2,Winter,1916
234,Bank Transfer,4.5,Fall,23884
235,Credit Card,3.7,Summer,7914
236,Debit Card,3.7,Winter,11963
237,PayPal,3.4,Winter,5398
238,Debit Card,3.0,Summer,23487
239,Cash,4.2,Fall,11474
240,Credit Card,2.9,Summer,13614
241,Bank Transfer,3.5,Winter,13509
242,Venmo,4.1,Winter,18554
243,Debit Card,4.3,Summer,6888
244,Debit Card,2.8,Winter,2605
245,PayPal,4.9,Spring,7546
246,Venmo,3.3,Summer,16376
247,Venmo,3.2,Spring,357
248,Debit Card,4.4,Spring,19165
249,PayPal,4.8,Winter,23078
250,Credit Card,4.2,Fall,7421
251,Bank Transfer,4.0,Fall,12291
252,PayPal,2.5,Winter,20479
253,Venmo,3.9,Summer,24129
254,Bank Transfer,4.9,Winter,3714
255,PayPal,3.5,Winter,3684
256,Debit Card,4.2,Spring,20232
257,Credit Card,4.7,Spring,16253
258,Credit Card,4.5,Summer,20902
259,Cash,2.8,Spring,3655
260,Debit Card,2.9,Fall,3423
261,Credit Card,3.2,Winter,11343
262,Credit Card,4.9,Winter,4778
263,Debit Card,3.7,Summer,18985
264,Venmo,4.3,Summer,20001
265,Cash,3.9,Fall,22313
266,Bank Transfer,3.2,Spring,8758
267,Credit Card,3.1,Summer,1188
268,Venmo,3.9,Spring,5633
269,Cash,2.6,Spring,17744
270,Cash,3.3,Winter,4060
271,Bank Transfer,4.6,Fall,3075
272,Credit Card,4.6,Summer,11780
273,Debit Card,4.4,Summer,11461
274,Debit Card,4.2,Spring,4456
275,Cash,3.0,Spring,6082
276,Credit Card,4.0,Winter,4433
277,Bank Transfer,3.5,Fall,16423
278,Bank Transfer,3.0,Winter,1732
279,Debit Card,3.7,Spring,7828
280,Bank Transfer,4.0,Summer,25104
281,Cash,4.2,Fall,10026
282,Debit Card,2.5,Spring,13308
283,Cash,3.0,Summer,12142
284,Venmo,3.2,Fall,12008
285,PayPal,3.5,Summer,13466
286,Debit Card,4.8,Summer,12561
287,Debit Card,2.6,Summer,72
288,Venmo,3.4,Spring,19408
289,Venmo,3.7,Winter,15539
290,Credit Card,4.5,Fall,1307
291,PayPal,3.7,Winter,17773
292,Bank Transfer,3.3,Fall,22043
293,Cash,4.7,Spring,13507
294,PayPal,2.7,Spring,11843
295,Credit Card,4.6,Spring,12486
296,Credit Card,2.7,Winter,20760
297,Credit Card,4.8,Spring,4428
298,Credit Card,4.4,Summer,24737
299,Venmo,4.0,Winter,4346
300,PayPal,3.2,Summer,4496
301,PayPal,4.4,Spring,2653
302,Credit Card,3.8,Spring,23364
303,Bank Transfer,3.6,Summer,480
304,Venmo,3.3,Summer,22403
305,Credit Card,3.4,Winter,1478
306,PayPal,3.5,Fall,4950
307,Cash,3.6,Summer,18520
308,Credit Card,3.2,Winter,24471
309,Venmo,3.7,Fall,4651
310,Cash,4.5,Spring,24425
311,Cash,4.6,Winter,8606
312,Bank Transfer,4.1,Winter,7954
313,PayPal,3.4,Spring,23415
314,Credit Card,3.7,Spring,24718
315,Debit Card,3.3,Summer,9283
316,Debit Card,4.5,Spring,8583
317,Venmo,3.3,Fall,12402
318,Cash,4.3,Fall,10079
319,Cash,2.5,Winter,14127
320,Cash,2.6,Spring,6956
321,Debit Card,4.9,Summer,23473
322,Debit Card,4.7,Summer,13623
323,Credit Card,3.0,Winter,11962
324,PayPal,3.5,Winter,16717
325,Venmo,4.8,Summer,24297
326,Debit Card,4.3,Winter,9366
327,Bank Transfer,3.2,Fall,13450
328,PayPal,3.1,Summer,16718
329,Credit Card,2.8,Fall,20281
330,Bank Transfer,2.9,Summer,8703
331,Venmo,3.7,Winter,18598
332,PayPal,3.3,Fall,21457
333,Credit Card,2.8,Winter,22990
334,Bank Transfer,4.5,Winter,7386
335,Credit Card,2.6,Fall,7604
336,Venmo,3.7,Spring,20840
337,PayPal,4.4,Fall,12914
338,Bank Transfer,4.3,Winter,9463
339,Cash,3.5,Winter,17174
340,Credit Card,3.8,Spring,1751
341,Venmo,3.5,Summer,18041
342,Debit Card,4.6,Summer,22576
343,Credit Card,2.6,Spring,18262
344,Venmo,4.4,Summer,6886
345,Debit Card,4.0,Winter,11876
346,Bank Transfer,4.4,Winter,20865
347,Cash,4.7,Spring,3614
348,PayPal,3.9,Fall,12736
349,PayPal,2.7,Fall,22166
350,Bank Transfer,3.7,Winter,6071
351,Bank Transfer,2.6,Spring,6538
352,Debit Card,3.9,Winter,19441
353,Cash,4.9,Fall,97
354,Debit Card,4.1,Fall,23990
